id,name,type,production,year,sex,birth,ethnicity,frequency
12AndHolding,12 and Holding,0,5,3,99,99,99,99
13FrenchStreet,13 French Street ,0,5,3,99,99,99,99
1stToDie,1st to Die,0,5,3,99,99,99,99
6BelowMiracleOnTheMountain,6 Below Miracle on the Mountain,0,5,4,99,99,99,99
AboveSuspicion,Above Suspicion,0,5,3,99,99,99,99
AbsolutelyAnything,Absolutely Anything,0,5,4,99,99,99,99
AceVenturaPetDetective,Ace Ventura: Pet Detective,0,5,2,99,99,99,99
AChristmasToRemember,A Christmas to Remember,0,5,4,99,99,99,99
ADogAndPonyShow,A Dog and Pony Show,0,5,4,99,99,99,99
Aftermath,Aftermath,0,5,3,99,99,99,99
AGreenStory,A Green Story,0,5,4,99,99,99,99
AJobToKillFor,A Job to Kill For ,0,5,3,99,99,99,99
AKillerWithin,A Killer Within,0,5,3,99,99,99,99
AKissBeforeDying,A Kiss Before Dying,0,3,2,99,99,99,99
AliceThroughTheLookingGlass,Alice Through the Looking Glass,0,5,2,99,99,99,99
AllIWantForChristmas,All I Want For Christmas,0,5,4,99,99,99,99
Alto,Alto,0,5,4,99,99,99,99
AmericanCrime,American Crime,0,5,3,99,99,99,99
AmongstFriends,Amongst Friends,0,5,2,99,99,99,99
AMonthByTheLake,A Month by the Lake,0,1,2,99,99,99,99
AMuppetsChristmasLettersToSanta,A Muppets Christmas: Letters to Santa,0,5,3,99,99,99,99
AngelsCrest,Angels Crest,0,5,4,99,99,99,99
AnnaLeeHeadcase,Anna Lee: Headcase,0,5,2,99,99,99,99
APerfectMurder,A Perfect Murder,0,5,2,99,99,99,99
Asteroid,Asteroid,0,5,2,99,99,99,99
AtFirstSight,At First Sight,0,5,2,99,99,99,99
AttackOfThe50FootCheerleader,Attack of the 50 Foot Cheerleader,0,5,4,99,99,99,99
AustinPowersInGoldmember,Austin Powers in Goldmember,0,5,3,99,99,99,99
BabarTheMovie,Babar: The Movie,0,5,1,99,99,99,99
BabySecretOfTheLostLegend,Baby: Secret of the Lost Legend,0,5,1,99,99,99,99
BackInTheDay,Back in the Day,0,5,4,99,99,99,99
Barcelona,Barcelona,0,5,2,99,99,99,99
BeautifulGirls,Beautiful Girls,0,1,2,99,99,99,99
BeckinsaleKate,Kate Beckinsale,1,99,99,1,3,2,3
BeCool,Be Cool,0,5,3,99,99,99,99
